Rank,Release Group,Worldwide,Domestic,%,Foreign,%
169,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
170,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
171,The Wolf of Snow Hollow,"$185,026","$185,026",100%,-,-
172,Six Minutes to Midnight,"$181,216",-,-,"$181,216",100%
173,Billie,"$177,602",-,-,"$177,602",100%
174,Elf 2020 Re-release,"$173,568","$173,568",100%,-,-
175,We Summon the Darkness,"$168,473","$60,794",36.10%,"$107,679",63.90%
176,The Comeback Trail,"$167,818",-,-,"$167,818",100%
177,Grease 2020 Re-release,"$166,123","$102,000",61.40%,"$64,123",38.60%
178,Cruel Peter,"$163,925",-,-,"$163,925",100%
179,Halloween 2020 Re-release,"$160,000","$160,000",100%,-,-
180,The Booksellers,"$157,383","$25,694",16.30%,"$131,689",83.70%
181,A Call to Spy,"$155,568","$149,761",96.30%,"$5,807",3.70%
182,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
183,I Am Woman,"$152,987",-,-,"$152,987",100%
184,Wendy,"$144,564","$143,518",99.30%,"$1,046",0.70%
185,The Silencing,"$141,479","$100,746",71.20%,"$40,733",28.80%
186,Incitement,"$140,306","$140,306",100%,-,-
187,Most Wanted,"$138,000","$138,000",100%,-,-
188,Beneath Us,"$137,260","$137,260",100%,-,-
189,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
190,Lucky Grandma,"$126,169","$102,000",80.80%,"$24,169",19.20%
191,Only,"$125,603",-,-,"$125,603",100%
192,"14 Days, 12 Nights","$122,806","$122,530",99.80%,$276,0.20%
193,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
194,Heaven,"$111,232","$111,232",100%,-,-
195,Fatman,"$108,305","$108,305",100%,-,-
196,Miss Juneteenth,"$105,908","$92,349",87.20%,"$13,559",12.80%
197,The Roads Not Taken,"$105,439","$3,518",3.30%,"$101,921",96.70%
